video_id,title,description,published_at,thumbnails,tags,category_id,default_language,default_audio_language,duration,definition,caption,licensed_content,projection,views,likes,comments,favorites,privacy_status,license,embed_html,topic_categories
DKz0CSWPjj4,FamilyBoost | What it is and how to register and claim,FamilyBoost is a payment to help eligible households pay for the cost of early childhood education (ECE). Caregivers can register for and claim FamilyBoost in myIR.,2024-10-02,"{'default': {'url': 'https://i.ytimg.com/vi/DKz0CSWPjj4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DKz0CSWPjj4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DKz0CSWPjj4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DKz0CSWPjj4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DKz0CSWPjj4/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT3M30S,hd,true,False,rectangular,1254,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/DKz0CSWPjj4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
leakNLL4vRs,IR Secondary income | know what to do,,2024-07-28,"{'default': {'url': 'https://i.ytimg.com/vi/leakNLL4vRs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/leakNLL4vRs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/leakNLL4vRs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/leakNLL4vRs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/leakNLL4vRs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT1M10S,hd,true,False,rectangular,3447,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/leakNLL4vRs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
6TZZTjtx8c0,End of tax year | know what to do,"Tax is vital to New Zealand life, but can be complicated. Take a look at these examples with Ivy and Rikki to find out what you need to do at the end of the tax year. You'll find out what you'll receive and when, based on the situation that best fits you. 

You can find out more, here: 
https://www.ird.govt.nz/end-of-tax-year

----------------------------------------------------------------

Follow us on social media for help with general queries relating to any of Inland Revenue's products and services: 

Facebook: https://www.facebook.com/IRDNZ/
LinkedIn: https://www.linkedin.com/company/inland-revenue-nz/

Stay up-to-date: https://www.ird.govt.nz/

--------------------------------------------------------------------

#InlandRevenueNZ #IRD #endofthetaxyear #knowwhattodo",2024-03-24,"{'default': {'url': 'https://i.ytimg.com/vi/6TZZTjtx8c0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6TZZTjtx8c0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6TZZTjtx8c0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6TZZTjtx8c0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6TZZTjtx8c0/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['myir', 'inland revenue nz', 'end of year tax', 'know what to do']",27,,en-GB,PT16S,hd,true,False,rectangular,960,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6TZZTjtx8c0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
sWriXSbtgL8,End of tax year | know what to do,"Tax is vital to New Zealand life, but can be complicated. Take a look at these examples with Ivy and Rikki to find out what you need to do at the end of the tax year. You'll find out what you'll receive and when, based on the situation that best fits you. 

You can find out more, here: 
https://www.ird.govt.nz/end-of-tax-year

----------------------------------------------------------------

Follow us on social media for help with general queries relating to any of Inland Revenue's products and services: 

Facebook: https://www.facebook.com/IRDNZ/
LinkedIn: https://www.linkedin.com/company/inland-revenue-nz/

Stay up-to-date: https://www.ird.govt.nz/

--------------------------------------------------------------------

#InlandRevenueNZ #IRD #endofthetaxyear #knowwhattodo",2024-03-24,"{'default': {'url': 'https://i.ytimg.com/vi/sWriXSbtgL8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/sWriXSbtgL8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/sWriXSbtgL8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/sWriXSbtgL8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/sWriXSbtgL8/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['myir', 'know what to do', 'end of tax year', 'inland revenue nz']",27,,en-GB,PT1M12S,hd,true,False,rectangular,325914,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/sWriXSbtgL8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
xC4kO4EJrNI,IR In Real Life,,2023-12-14,"{'default': {'url': 'https://i.ytimg.com/vi/xC4kO4EJrNI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xC4kO4EJrNI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xC4kO4EJrNI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xC4kO4EJrNI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xC4kO4EJrNI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT1M30S,hd,true,False,rectangular,1543,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xC4kO4EJrNI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Business']
iG5roFk_w0M,Student loans | Thinking of moving overseas?,,2023-10-05,"{'default': {'url': 'https://i.ytimg.com/vi/iG5roFk_w0M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iG5roFk_w0M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iG5roFk_w0M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/iG5roFk_w0M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/iG5roFk_w0M/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT1M53S,hd,true,False,rectangular,2130,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iG5roFk_w0M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
FoDsi8m76Lo,Real Estate Salespeople/Agent Seminar,"We know many real estate agents are doing the right thing, so tax returns where personal expenses have been claimed or other expenses have been inflated stand out. In this seminar, we'll help you get it right from the start with information about expenses, good record keeping, GST and the wage subsidy. 

Stay up-to-date with getting your taxes right as a Real Estate Salesperson/Agent: 
https://www.ird.govt.nz/real-estate-agents

Whether you're already in business or considering setting up a real estate agency, you can make an appointment to see us. We run free seminars and workshops online and in person on topics like income tax, GST and becoming an employer. Find out more about our upcoming seminars: https://www.ird.govt.nz/seminars

----------------------------------------------------------------

Follow us on social media for help with general queries relating to any of Inland Revenue's products and services: 

Facebook: https://www.facebook.com/IRDNZ/
Twitter: https://twitter.com/NZInlandRevenue
LinkedIn: https://www.linkedin.com/company/inland-revenue-nz/

--------------------------------------------------------------------
0:00 Intro
0:28 Expense to income rations
1:28 Good record keeping
2:06 How do you want to keep your records?
2:43 Business expenses
3:15 Non-deductible expenses
3:50 Vehicle expenses
4:28 Gifts
4:47 Entertainment
5:08 Record keeping for gifts or entertainment
5:31 Home office - portion of actual costs
5:53 Other business expenses
6:52 Invoices

This seminar was last updated on 22 June 2023.

#InlandRevenueNZ #IRD #realestate #seminar",2023-07-18,"{'default': {'url': 'https://i.ytimg.com/vi/FoDsi8m76Lo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FoDsi8m76Lo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FoDsi8m76Lo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/FoDsi8m76Lo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/FoDsi8m76Lo/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['IRD', 'Inland Revenue NZ', 'Inland Revenue', 'Real Estate', 'Real Estate Agent', 'Real Estate Salesperson', 'Real Estate Salespeople', 'Seminar']",27,en,en-GB,PT8M20S,hd,false,False,rectangular,1066,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FoDsi8m76Lo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
RUVnCM-efeo,Income tax returns | know what to do | 7 July,"Tax is vital to New Zealand life, but can be complicated. So, who needs to file an individual income tax return? Ivy and Rikki will tell explain more. 

You can also find out more, here: 
https://www.ird.govt.nz/pages/campaigns/7-july

----------------------------------------------------------------

Follow us on social media for help with general queries relating to any of Inland Revenue's products and services: 

Facebook: https://www.facebook.com/IRDNZ/
Twitter: https://twitter.com/NZInlandRevenue
LinkedIn: https://www.linkedin.com/company/inland-revenue-nz/

Stay up-to-date: https://www.ird.govt.nz/

--------------------------------------------------------------------

#InlandRevenueNZ #IRD #endofthetaxyear #knowwhattodo #7july",2023-05-22,"{'default': {'url': 'https://i.ytimg.com/vi/RUVnCM-efeo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RUVnCM-efeo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RUVnCM-efeo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RUVnCM-efeo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RUVnCM-efeo/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Inland Revenue NZ', 'ird', '7 July', 'End of tax year', 'know what to do', 'Ivy and Rikki']",27,,en-GB,PT31S,hd,true,False,rectangular,156975,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RUVnCM-efeo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
UTccXoSRZBQ,Interest Limitation Rules - Inland Revenue NZ,"Do you own rental property in New Zealand? If so, the interest limitation rules may apply to you. Residential rental properties are subject to the interest limitation rules unless an exclusion or exemption applies.  

For residential rental property acquired before 27 March 2021, the ability to claim mortgage interest as an expense is being phased out between 1 October 2021 and 31 March 2025. 

For residential rental property acquired on or after 27 March 2021, no mortgage interest can be claimed from 1 October 2021.  

You can find out more here: www.ird.govt.nz/property-interest-rules

----------------------------------------------------------------

Follow us on social media for help with general queries relating to any of Inland Revenue's products and services: 

Facebook: https://www.facebook.com/IRDNZ/
Twitter: https://twitter.com/NZInlandRevenue
LinkedIn: https://www.linkedin.com/company/inland-revenue-nz/

Stay up-to-date: https://www.ird.govt.nz/

--------------------------------------------------------------------

#InlandRevenueNZ #IRD #interestlimitations",2023-05-09,"{'default': {'url': 'https://i.ytimg.com/vi/UTccXoSRZBQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UTccXoSRZBQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UTccXoSRZBQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/UTccXoSRZBQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/UTccXoSRZBQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['IRD', 'Inland Revenue NZ', 'Interest Limitations']",27,,en-GB,PT16S,hd,true,False,rectangular,446,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UTccXoSRZBQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",[]
s6_BVC3NmPo,Interest Limitation Rules - Inland Revenue NZ,"Do you own rental property in New Zealand? If so, the interest limitation rules may apply to you. Residential rental properties are subject to the interest limitation rules unless an exclusion or exemption applies.  

For residential rental property acquired before 27 March 2021, the ability to claim mortgage interest as an expense is being phased out between 1 October 2021 and 31 March 2025. 

For residential rental property acquired on or after 27 March 2021, no mortgage interest can be claimed from 1 October 2021.  

You can find out more here: www.ird.govt.nz/property-interest-rules

----------------------------------------------------------------

Follow us on social media for help with general queries relating to any of Inland Revenue's products and services: 

Facebook: https://www.facebook.com/IRDNZ/
Twitter: https://twitter.com/NZInlandRevenue
LinkedIn: https://www.linkedin.com/company/inland-revenue-nz/

Stay up-to-date: https://www.ird.govt.nz/

--------------------------------------------------------------------

#InlandRevenueNZ #IRD #interestlimitations

0:00 Intro
0:06 What are they and how do they affect you?
0:19 Depending on when you purchased your rental property, the rules will affect you differently
0:50 Exclusions
1:10 What does this mean for your tax return?
1:20 More info",2023-05-09,"{'default': {'url': 'https://i.ytimg.com/vi/s6_BVC3NmPo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/s6_BVC3NmPo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/s6_BVC3NmPo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/s6_BVC3NmPo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/s6_BVC3NmPo/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['IRD', 'Inland Revenue NZ', 'Interest Limitations']",27,,en-GB,PT1M29S,hd,true,False,rectangular,47749,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/s6_BVC3NmPo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",[]
