video_id,title,description,published_at,thumbnails,tags,category_id,default_language,default_audio_language,duration,definition,caption,licensed_content,projection,views,likes,comments,favorites,privacy_status,license,embed_html,topic_categories
x-Tft5IIsrw,Financial information for carers and people with disability,"The session covers:
• understanding Carer Payment and Disability Support Pension
• eligibility for additional entitlements
• understanding Special Disability Trust arrangements
 
Useful links:
 
Understanding Carer Allowance: https://www.servicesaustralia.gov.au/carer-allowance
Carer Supplement eligibility and payment details: https://www.servicesaustralia.gov.au/carer-supplement
Eligibility criteria for Child Disability Assistance Payment: https://www.servicesaustralia.gov.au/child-disability-assistance-payment
Understanding Carer Adjustment Payment: https://www.servicesaustralia.gov.au/carer-adjustment-payment
Information relating to breaks in care: https://www.servicesaustralia.gov.au/breaks-from-caring-when-you-get-carer-payment?context=21816
Explanation of Special Disability Trusts: https://www.servicesaustralia.gov.au/special-disability-trusts",2024-10-18,"{'default': {'url': 'https://i.ytimg.com/vi/x-Tft5IIsrw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/x-Tft5IIsrw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/x-Tft5IIsrw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/x-Tft5IIsrw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/x-Tft5IIsrw/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT45M28S,hd,false,False,rectangular,274,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/x-Tft5IIsrw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
SsbJcCXmry0,Financial Information for rural and remote communities,"The session covers: 
• assessment of income and assets
• eligibility and payment of Farm Household Allowance
• how our agents, access points, and mobile service centres can assist you

Useful links: 

Eligibility guidelines for the Farm Household Allowance: https://www.servicesaustralia.gov.au/who-can-get-farm-household-allowance?context=22161
Farm Household Allowance entitlements: https://www.servicesaustralia.gov.au/how-much-farm-household-allowance-you-can-get?context=22161
Information about Farm Financial Assessment: https://www.servicesaustralia.gov.au/farm-financial-assessment?context=22161
Information relating to the activity supplement: https://www.servicesaustralia.gov.au/activity-supplement-for-farm-household-allowance?context=22161
Payment and Service Finder: https://www.centrelink.gov.au/apps/clkonline_cof/payment-service-finder/payment-service-finder-start#stay",2024-10-04,"{'default': {'url': 'https://i.ytimg.com/vi/SsbJcCXmry0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SsbJcCXmry0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SsbJcCXmry0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SsbJcCXmry0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SsbJcCXmry0/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT44M,hd,false,False,rectangular,329,2,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SsbJcCXmry0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
w9qZmWdzRgY,Tax time with Services Australia,"Find out what you need to know and do at tax time, if you get a payment or service from us.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/w9qZmWdzRgY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/w9qZmWdzRgY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/w9qZmWdzRgY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/w9qZmWdzRgY/sddefault.jpg', 'width': 640, 'height': 480}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT1M29S,hd,false,False,rectangular,2174,5,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/w9qZmWdzRgY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
CAxFy5052Uc,In the community - Aged Care Specialist Officers,"Our Aged Care Specialist Officers help older Australians, and their families and nominees, to understand, access and navigate aged care services.
Watch the video to find out more about how they’re working in the community.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/CAxFy5052Uc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CAxFy5052Uc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CAxFy5052Uc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CAxFy5052Uc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CAxFy5052Uc/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT3M17S,hd,true,False,rectangular,110,2,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/CAxFy5052Uc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
UZIqwpGa4SU,In the community - Community Partnership Specialist Officers,"Our Community Partnership Specialist Officers support people experiencing homelessness and social isolation access our payments and services.  
Watch the video to hear about how we’re working with Wayside Chapel to support their visitors.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/UZIqwpGa4SU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UZIqwpGa4SU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UZIqwpGa4SU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/UZIqwpGa4SU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/UZIqwpGa4SU/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT2M2S,hd,true,False,rectangular,63,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UZIqwpGa4SU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
TAsVdxQsVFw,In the community - Community Engagements Officers,"Our Community Engagements Officers work with community and third party organisations to identify and support people experiencing vulnerability and complex issues.
Watch the video to hear about our work with Mission Australia.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/TAsVdxQsVFw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TAsVdxQsVFw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TAsVdxQsVFw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/TAsVdxQsVFw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/TAsVdxQsVFw/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT1M59S,hd,true,False,rectangular,47,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TAsVdxQsVFw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
Ja-8z9aivUw,In the community - Indigenous Service Officers,"Our Indigenous Service Officers connect Aboriginal and Torres Strait Islander customers and communities to our payments and services.
Watch the video to hear about our work with local community organisation Baabayn.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/Ja-8z9aivUw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ja-8z9aivUw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ja-8z9aivUw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Ja-8z9aivUw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Ja-8z9aivUw/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT2M21S,hd,true,False,rectangular,76,2,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ja-8z9aivUw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
RRfXYZWEg-c,In the community - Multicultural Service Officers,"Our Multicultural Service Officers help migrants, refugees and asylum seekers connect to our payments and services.  
Watch the video to hear about how we work with Sydney Multicultural Community Services.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/RRfXYZWEg-c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RRfXYZWEg-c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RRfXYZWEg-c/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RRfXYZWEg-c/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RRfXYZWEg-c/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT2M15S,hd,true,False,rectangular,68,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RRfXYZWEg-c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
kLXtx80ge1E,Connecting with community,"We provide tailored support for people who are experiencing vulnerability or have complex needs.
Watch this video to find out about our specialist staff who are helping these people to access the payments and services they need.",2024-09-27,"{'default': {'url': 'https://i.ytimg.com/vi/kLXtx80ge1E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kLXtx80ge1E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kLXtx80ge1E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/kLXtx80ge1E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/kLXtx80ge1E/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT3M25S,hd,true,False,rectangular,86,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kLXtx80ge1E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
8xZ-oVT8xXc,Gifting & Lump Sums,"The session covers: 
• impacts on payments and concession cards by gifts and lump sums
• gifting examples and calculations
• types of lump sums and the assessment process 

Useful links: 

Financial Information Service: https://www.servicesaustralia.gov.au/financial-information-service 
Lump sums while on Income Support: https://www.servicesaustralia.gov.au/lump-sums-while-income-support?context=22526
Gifting: https://www.servicesaustralia.gov.au/gifting?context=22526
Moneysmart website: https://moneysmart.gov.au/
Payment finder: https://www.centrelink.gov.au/apps/clkonline_cof/payment-service-finder/payment-service-finder-start
Online Services: https://www.servicesaustralia.gov.au/help-for-mygov-online-accounts-and-mobile-apps?context=64107",2024-09-19,"{'default': {'url': 'https://i.ytimg.com/vi/8xZ-oVT8xXc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8xZ-oVT8xXc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8xZ-oVT8xXc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8xZ-oVT8xXc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8xZ-oVT8xXc/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Services Australia', 'Australian Government', 'Australian Government Services Australia', 'myGov', 'Centrelink', 'Medicare', 'Child Support']",25,en-AU,en,PT35M6S,hd,false,False,rectangular,1741,30,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8xZ-oVT8xXc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
