video_id,title,description,published_at,thumbnails,tags,category_id,default_language,default_audio_language,duration,definition,caption,licensed_content,projection,views,likes,comments,favorites,privacy_status,license,embed_html,topic_categories
G6XXr2lTaaE,What you need to know about maintaining charitable registration,What you need to know about maintaining charitable registration for charities and registered national arts service organizations (RNASOs),2024-10-08,"{'default': {'url': 'https://i.ytimg.com/vi/G6XXr2lTaaE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/G6XXr2lTaaE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/G6XXr2lTaaE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/G6XXr2lTaaE/sddefault.jpg', 'width': 640, 'height': 480}}",[],27,,en,PT23M52S,hd,true,False,rectangular,135,4,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/G6XXr2lTaaE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
FV9TT2vE9LI,Books and records for charities and registered national arts service organizations (RNASOs),How to manage books and records for registered charities and registered national arts service organizations (RNASOs),2024-10-02,"{'default': {'url': 'https://i.ytimg.com/vi/FV9TT2vE9LI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FV9TT2vE9LI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FV9TT2vE9LI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/FV9TT2vE9LI/sddefault.jpg', 'width': 640, 'height': 480}}",[],27,,en,PT20M24S,hd,true,False,rectangular,152,2,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FV9TT2vE9LI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
rVTztidilOE,Spot the red flags,Did we really call you? We may contact you in certain instances. Not sure it’s really us? Don’t be afraid to question it. Learn more about what to expect from us at Canada.ca/be-scam-smart,2024-09-25,"{'default': {'url': 'https://i.ytimg.com/vi/rVTztidilOE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rVTztidilOE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rVTztidilOE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rVTztidilOE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rVTztidilOE/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en,PT35S,hd,true,False,rectangular,179,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/rVTztidilOE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",[]
Kg_mzD3IjNI,Protect your personal information,"Beware of scammers pretending to be us! 

We do not email you links asking you to fill in online forms with your information. Check your My Account to see if you have a refund! 

Learn more about what to expect from us at Canada.ca/be-scam-smart",2024-09-25,"{'default': {'url': 'https://i.ytimg.com/vi/Kg_mzD3IjNI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Kg_mzD3IjNI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Kg_mzD3IjNI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Kg_mzD3IjNI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Kg_mzD3IjNI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en,PT36S,hd,true,False,rectangular,127,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Kg_mzD3IjNI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",[]
BWpqpCD6-WY,Is the CRA texting me?,"We will not contact you by text or instant message unless you request a one-time passcode for CRA sign-in services like My Account. If you receive any other texts claiming to be from us, it's a scam! 

Learn more about what to expect from us at Canada.ca/be-scam-smart",2024-09-25,"{'default': {'url': 'https://i.ytimg.com/vi/BWpqpCD6-WY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BWpqpCD6-WY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BWpqpCD6-WY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BWpqpCD6-WY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BWpqpCD6-WY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en,PT33S,hd,true,False,rectangular,163,2,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/BWpqpCD6-WY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",[]
_u9XhkMnSag,Completing your T3010 online: A walkthrough for charities,How to complete your T3010 online: A walkthrough for charities and registered national arts service organizations (RNASO),2024-06-28,"{'default': {'url': 'https://i.ytimg.com/vi/_u9XhkMnSag/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_u9XhkMnSag/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_u9XhkMnSag/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_u9XhkMnSag/sddefault.jpg', 'width': 640, 'height': 480}}",[],27,,en,PT50M30S,hd,true,False,rectangular,432,5,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_u9XhkMnSag"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
DyqGJmAdcCs,Registering for My Business Account (MyBA): A step-by-step guide for charities,How to register for My Business Account (MyBA): A step-by-step guide for charities and registered national arts service organizations (RNASOs),2024-06-28,"{'default': {'url': 'https://i.ytimg.com/vi/DyqGJmAdcCs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DyqGJmAdcCs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DyqGJmAdcCs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DyqGJmAdcCs/sddefault.jpg', 'width': 640, 'height': 480}}",[],27,,en,PT25M15S,hd,true,False,rectangular,271,1,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/DyqGJmAdcCs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
yEjuFS1_8t8,Webinar - Disability tax credit (DTC) – Fully digital application form for applicants,Learn about the features of the fully digital disability tax credit (DTC) application process.,2024-06-25,"{'default': {'url': 'https://i.ytimg.com/vi/yEjuFS1_8t8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yEjuFS1_8t8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yEjuFS1_8t8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/yEjuFS1_8t8/sddefault.jpg', 'width': 640, 'height': 480}}","['disability tax credit', 'T2201', 'DTC application']",27,,en,PT25M36S,hd,true,False,rectangular,910,13,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/yEjuFS1_8t8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Knowledge']
odwKtMszOnE,Webinar - Disability tax credit (DTC) – Fully digital application form for medical practitioners,Learn about the features of the fully digital disability tax credit (DTC) application process.,2024-06-25,"{'default': {'url': 'https://i.ytimg.com/vi/odwKtMszOnE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/odwKtMszOnE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/odwKtMszOnE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/odwKtMszOnE/sddefault.jpg', 'width': 640, 'height': 480}}","['disability tax credit', 'T2201', 'DTC application']",27,,en,PT18M4S,hd,true,False,rectangular,501,8,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/odwKtMszOnE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Knowledge']"
I9kBakN1npk,Learn about your taxes,"Feeling out of the loop when it comes to taxes? We’ve got you covered, The Canada Revenue Agency has a free online learning tool to get you up to speed! Learn how to file your taxes, what benefits and credits are available to you, and so much more. We’ll also explain how the tax system works and why taxes matter.

Go to https://canada.ca/learn-about-taxes to get started.

0:00 Introduction
0:19 What you can learn
0:47 Outro",2024-05-07,"{'default': {'url': 'https://i.ytimg.com/vi/I9kBakN1npk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I9kBakN1npk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I9kBakN1npk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/I9kBakN1npk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/I9kBakN1npk/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Learn about your taxes', 'Taxes', 'Canada Revenue Agency', 'Tax form', 'personal tax credits return', 'What are taxes', 'Canadian tax system']",27,,en,PT1M3S,hd,true,False,rectangular,315,10,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/I9kBakN1npk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
