video_id,title,description,published_at,thumbnails,tags,category_id,default_language,default_audio_language,duration,definition,caption,licensed_content,projection,views,likes,comments,favorites,privacy_status,license,embed_html,topic_categories
G5xQE-l78KI,Digital Transformation Tech Talk 19 webinar October 2024,"The Department of Health and Aged Care’s continuing webinar series centres on ways to build a better-connected, sustainable and modern aged care IT network.

Our Tech Talk 19 shared updates following recent aged care reform announcements. Presenters also gave updates on digital transformation work including Support at Home, and the Business to Government (B2G) project.",2024-10-23,"{'default': {'url': 'https://i.ytimg.com/vi/G5xQE-l78KI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/G5xQE-l78KI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/G5xQE-l78KI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/G5xQE-l78KI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/G5xQE-l78KI/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Digital Transformation Tech Talk', 'Department of Health & Aged Care', 'Digital Transformation', 'ICT Reform', 'Digital Transformation Tech Talk Webinar', 'Health', 'Webinar', 'Tech Talk']",28,en,en-GB,PT1H30M33S,hd,true,False,rectangular,6,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/G5xQE-l78KI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
C8X-onYv_Bg,Shingles vaccination – Uncle Rod,"Uncle Rod wants mob aged 50 and over to know that they could be eligible for free shingles vaccination. He explains how much shingles can affect you, both physically and mentally.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-23,"{'default': {'url': 'https://i.ytimg.com/vi/C8X-onYv_Bg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/C8X-onYv_Bg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/C8X-onYv_Bg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/C8X-onYv_Bg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/C8X-onYv_Bg/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT55S,hd,true,False,rectangular,3,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/C8X-onYv_Bg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
D2_ylGMavfo,Shingles vaccination – Uncle Edward,"Uncle Edward has heard how painful shingles can be and encourages mob to protect themselves with the shingles vaccine.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-23,"{'default': {'url': 'https://i.ytimg.com/vi/D2_ylGMavfo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/D2_ylGMavfo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/D2_ylGMavfo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/D2_ylGMavfo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/D2_ylGMavfo/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT49S,hd,true,False,rectangular,0,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/D2_ylGMavfo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
mAV-p1ToEmk,"Shingles vaccination – Sarah, Clinical Nurse Specialist","Clinical Nurse Specialist Sarah explains the importance of shingles vaccination for older people. She describes how debilitating shingles can be.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-23,"{'default': {'url': 'https://i.ytimg.com/vi/mAV-p1ToEmk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mAV-p1ToEmk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mAV-p1ToEmk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mAV-p1ToEmk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mAV-p1ToEmk/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT55S,hd,true,False,rectangular,2,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mAV-p1ToEmk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Health']
t3lQXUnhbbg,Shingles vaccination – Dr Eileen,"Dr Eileen describes the serious complications of shingles and urges people to protect themselves from the virus.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/t3lQXUnhbbg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/t3lQXUnhbbg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/t3lQXUnhbbg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/t3lQXUnhbbg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/t3lQXUnhbbg/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT52S,hd,true,False,rectangular,0,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/t3lQXUnhbbg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Health']
IU6pO9hovbU,I’ve had the shingles vaccine – Aunty DJ,Aunty DJ explains how shingles can impact people’s lives. She encourages people to protect themselves with a shingles vaccination – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.,2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/IU6pO9hovbU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IU6pO9hovbU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IU6pO9hovbU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IU6pO9hovbU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IU6pO9hovbU/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT42S,hd,true,False,rectangular,0,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/IU6pO9hovbU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
Ur5_N3G57EI,I’ve had the shingles vaccine – Aunty Kay,"Aunty Kay has had shingles and never wants to get it again. She wants to spread the word about how people can protect themselves against it.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/Ur5_N3G57EI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ur5_N3G57EI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ur5_N3G57EI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Ur5_N3G57EI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Ur5_N3G57EI/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT46S,hd,true,False,rectangular,4,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ur5_N3G57EI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
hAMpDHU9Nbc,I’ve had the shingles vaccine – Uncle Shad,"Uncle Shad works in health, and he’s seen how debilitating shingles can be when it affects mob, family and friends.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/hAMpDHU9Nbc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hAMpDHU9Nbc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hAMpDHU9Nbc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hAMpDHU9Nbc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hAMpDHU9Nbc/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT1M5S,hd,true,False,rectangular,3,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hAMpDHU9Nbc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Society']"
xsLrEsJKx4I,I know someone who had shingles – Aunty Nerida,"Aunty Nerida used to be a nurse. In this video, she shares her patients’ experiences with shingles. 

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/xsLrEsJKx4I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xsLrEsJKx4I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xsLrEsJKx4I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xsLrEsJKx4I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xsLrEsJKx4I/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT58S,hd,true,False,rectangular,4,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xsLrEsJKx4I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Health']
lixzTWK64os,I’ve had shingles – Uncle Garry,"Uncle Garry shares his experience with shingles, a viral infection that can be really nasty; especially if you are over 50 or if your immune system is weak.

The good news is there’s a safe and effective shingles vaccine – free under the National Immunisation Program for Aboriginal and Torres Strait Islander people 50 years or older.",2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/lixzTWK64os/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lixzTWK64os/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lixzTWK64os/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lixzTWK64os/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lixzTWK64os/maxresdefault.jpg', 'width': 1280, 'height': 720}}","['Shingles', 'Immunisation', 'Vaccination', 'Aboriginal and Torres Strait Islander health', 'National Immunisation Program', 'NIP', 'Shingrix', 'First Nations', 'Aboriginal and Torres Strait Islander', 'Indigenous Health', 'Health', 'Rash', 'Blister', 'Virus', 'Herpes Zoster', 'Nerve Pain', 'Pain', 'Post Herpetic Neuralgia', 'Department of Health and Aged Care']",28,en,en-GB,PT43S,hd,true,False,rectangular,1,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lixzTWK64os"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Health']
