video_id,title,description,published_at,thumbnails,tags,category_id,default_language,default_audio_language,duration,definition,caption,licensed_content,projection,views,likes,comments,favorites,privacy_status,license,embed_html,topic_categories
ZWasvKMvJvs,What to do if you've been sent a tax return,"Watch this video to find out what you need to do if you've been sent a tax return to complete. Including:
0:00 why you may be sent a return
0:16 how to check if you need a Self Assessment tax return
0:31 what to do when you're sent a return
0:41 what happens if you don't send a return on time
0:47 telling HMRC you no longer need to send a return
0:54 how to tell HMRC you've stopped being self-employed or left a partnership
1:07 help & support

*Tell us how we can improve the HMRC YouTube channel through this quick feedback survey*
https://hmrccustomerlab.qualtrics.com/jfe/form/SV_bvaFKBiaUbvJfgy

*To subscribe and visit the HMRCgovuk YouTube home page:*
https://www.youtube.com/channel/UCX03s8aGilPqvp992meZd6w?sub_confirmation=1

*Next video:* https://www.youtube.com/watch?v=iCT42v5du-E&list=PL8EcnheDt1zggFxkg-nMgS35aQBkqaqvL&index=6

*Current playlist:* https://www.youtube.com/playlist?list=PL8EcnheDt1zggFxkg-nMgS35aQBkqaqvL
For more videos on Self Assessment, visit https://www.youtube.com/@HMRCgovuk/playlists?view=50&shelf_id=1

Help and Support: https://www.gov.uk/check-if-you-need-tax-return

HMRC is the UK’s tax, payments and customs authority. We collect the money that pays for the UK’s public services and help families and individuals with targeted financial support. 

You can use social media for help with general queries relating to any of HMRC’s products and services:

Twitter: https://twitter.com/HMRCcustomers 

Facebook: https://www.facebook.com/HMRC",2024-10-22,"{'default': {'url': 'https://i.ytimg.com/vi/ZWasvKMvJvs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZWasvKMvJvs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZWasvKMvJvs/hqdefault.jpg', 'width': 480, 'height': 360}}","['Why sent a return', 'Do I need to fill in a tax return', 'tax return', 'Do I need a tax return']",27,,en-GB,PT1M14S,hd,true,False,rectangular,143,5,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ZWasvKMvJvs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
iQ-g2Sx9zBQ,Your self-employed tax return,"How to tell HMRC about your income if you’re self-employed.

0:00 Introduction
0:45 Page 1 - details for individuals, page 1 of 2
1:11 Page 2 - details for individuals, page 2 of 2
1:43 Page 3 - your accounting details
2:13 Page 4 - figures for your turnover
2:40 Page 5 - capital allowance and balances charges
2:49 Page 6 - other tax adjustments
3:04 Page 7 - losses
3:10 Page 8 - tax deducted for individuals
3:21 Page 9 - class 4 National Insurance
3:40 Help and Support

*Tell us how we can improve the HMRC YouTube channel through this quick feedback survey*
https://hmrccustomerlab.qualtrics.com/jfe/form/SV_bvaFKBiaUbvJfgy

*To subscribe and visit the HMRCgovuk YouTube home page:*
https://www.youtube.com/channel/UCX03s8aGilPqvp992meZd6w?sub_confirmation=1

*Next video:* https://www.youtube.com/watch?v=T4UDYw9kCjA&list=PL8EcnheDt1zhBFuWSc1A-9VOsA3BIZXhL&index=3
*Current playlist:* https://www.youtube.com/playlist?list=PL8EcnheDt1zhBFuWSc1A-9VOsA3BIZXhL
 
*For more videos on Self Assessment, visit* https://www.youtube.com/@HMRCgovuk/playlists?view=50&shelf_id=1

*Get help with basis period reform (moving to the new tax year basis)*
https://youtu.be/4hfxyyYYjDE

*Visit GOV.UK to find out more:*
https://www.gov.uk/hmrc

HMRC is the UK’s tax, payments and customs authority. We collect the money that pays for the UK’s public services and help families and individuals with targeted financial support. 

You can use social media for help with general queries relating to any of HMRC’s products and services:

Twitter: https://twitter.com/HMRCcustomers 

Facebook: https://www.facebook.com/HMRC",2024-10-21,"{'default': {'url': 'https://i.ytimg.com/vi/iQ-g2Sx9zBQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iQ-g2Sx9zBQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iQ-g2Sx9zBQ/hqdefault.jpg', 'width': 480, 'height': 360}}","['elf employed', 'Self employment', 'fill in tax return', 'tax return']",27,,en-GB,PT3M48S,hd,true,False,rectangular,359,6,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iQ-g2Sx9zBQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
ROCntSPFvBA,Inside HMRC Estates: Meet Tom from Professional Services and Digital Estates,"After four years in the prison service, Tom made a career change in 2018, joining HMRC with expectations of working primarily on tax-related tasks. However, the reality was far more exciting. Over the years, Tom has become a key player in estates analytics, helping drive digital innovation across HMRC’s estate. From implementing artificial intelligence and smart buildings to digital twin, Tom is part of a team responsible for shaping the future of HMRC's infrastructure. Visit Civil Service Jobs and search ‘HMRC’ to discover roles in property and estates.

00:00 – 00:12: Welcome to Professional Services and Digital Estate
00:12 – 1:34:  Meet Data Analyst, Tom
1:34 – 1:47: Apply on Civil Service Jobs",2024-10-21,"{'default': {'url': 'https://i.ytimg.com/vi/ROCntSPFvBA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ROCntSPFvBA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ROCntSPFvBA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ROCntSPFvBA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ROCntSPFvBA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT1M48S,hd,false,False,rectangular,46,0,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ROCntSPFvBA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Business']
g9nyodpGzOs,Inside HMRC Estates: Meet Mags from Programme and Project Delivery,"Join Mags, as she shares he journey as a Project Manager in HMRC's Project and Programme Delivery team. Since starting as a Helpline Officer in 2002, Mags has taken on large-scale projects, overseeing the transformation of HMRC workplaces across the UK. With a passion for mentoring and helping others, she reflects on her proudest moments, including guiding an apprentice to secure a full-time role. Watch to learn more about her rewarding career in the Civil Service and the impact she’s made along the way. Visit Civil Service Jobs and search ‘HMRC’ to discover roles in property and estates.

00:00 – 00:12: Welcome to Programme and Project Delivery
00:12 – 1:47: Meet Project Manager, Mags
1:47 – 2:02: Apply on Civil Service Jobs",2024-10-21,"{'default': {'url': 'https://i.ytimg.com/vi/g9nyodpGzOs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/g9nyodpGzOs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/g9nyodpGzOs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/g9nyodpGzOs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/g9nyodpGzOs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT2M3S,hd,false,False,rectangular,90,2,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/g9nyodpGzOs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Society']"
4Or9fR-UpXk,Inside HMRC Estates: Meet Rich from Service Design and User Experience,"Rich shares his journey of joining HMRC five years ago with no prior experience in Service Design and User Experience. HMRC believed in his skills, allowing him to build a team focused on real-life user experiences across its 14 Regional Centres. From redesigning workspaces to incorporating innovative solutions like AV kits, Rich’s team is committed to improving the work environment for 60,000+ users. Discover how Rich and his team are transforming HMRC spaces through feedback and innovation. Visit Civil Service Jobs and search ‘HMRC’ to discover roles in property and estates.

00:00 – 00:12  Welcome to Service Design and User Experience
00:12 – 1:57: Meet Head of User Experience, Rich
1:57 – 2:10: Apply on Civil Service Jobs",2024-10-21,"{'default': {'url': 'https://i.ytimg.com/vi/4Or9fR-UpXk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4Or9fR-UpXk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4Or9fR-UpXk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4Or9fR-UpXk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4Or9fR-UpXk/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT2M11S,hd,false,False,rectangular,60,3,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/4Or9fR-UpXk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Business']
LUD5v3b6giY,How do I keep records for anti-money laundering supervision?,"This video is an overview of how businesses should keep records for anti-money laundering supervision.
*Tell us how we can improve the HMRC YouTube channel through this quick feedback survey*
https://hmrccustomerlab.qualtrics.com/jfe/form/SV_bvaFKBiaUbvJfgy

*To subscribe and visit the HMRCgovuk YouTube home page:*
https://www.youtube.com/channel/UCX03s8aGilPqvp992meZd6w?sub_confirmation=1

*Anti-Money Laundering Supervision playlist:*
https://youtube.com/playlist?list=PL8EcnheDt1zhb_SNr9zTNhOWkwbcVSUQm&feature=shared

*Guidance on who needs to register for money laundering supervision:* 
https://www.gov.uk/guidance/money-laundering-regulations-who-needs-to-register

*Detailed guidance on anti money laundering supervision:*
https://www.gov.uk/topic/business-tax/money-laundering-regulations

0:00 Customer records
0:57 Other records
2:08 Types of records
2:20 Suspicious activity reports
2:40 Help & Support

HMRC is the UK’s tax, payments and customs authority. We collect the money that pays for the UK’s public services and help families and individuals with targeted financial support. 

You can use social media for help with general queries relating to any of HMRC’s products and services: 

Twitter: https://twitter.com/HMRCcustomers 

Facebook: https://www.facebook.com/HMRC",2024-10-21,"{'default': {'url': 'https://i.ytimg.com/vi/LUD5v3b6giY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LUD5v3b6giY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LUD5v3b6giY/hqdefault.jpg', 'width': 480, 'height': 360}}","['anti-money laundering', 'supervision', 'record keeping', 'records', 'SAR']",27,,en-GB,PT2M51S,hd,true,False,rectangular,202,9,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LUD5v3b6giY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Society']"
JXBNQ5vqdqE,Due diligence - what HMRC expects as a minimum,"This video is an overview of the kind of care HMRC expects companies to undertake when entering into a business relationship and how it responds to risks.
*Tell us how we can improve the HMRC YouTube channel through this quick feedback survey*
https://hmrccustomerlab.qualtrics.com/jfe/form/SV_bvaFKBiaUbvJfgy
*To subscribe and visit the HMRCgovuk YouTube home page:*
https://www.youtube.com/channel/UCX03s8aGilPqvp992meZd6w?sub_confirmation=1
*For further help & support on Gov.UK*
Visit https://www.gov.uk/guidance/due-diligence-when-making-customs-declarations
Visit https://www.gov.uk/get-information-about-a-company

HMRC is the UK’s tax, payments and customs authority. We collect the money that pays for the UK’s public services and help families and individuals with targeted financial support.
 
You can use social media for help with general queries relating to any of HMRC’s products and services:
 
Twitter: https://twitter.com/HMRCcustomers
 
Facebook: https://www.facebook.com/HMRC",2024-10-14,"{'default': {'url': 'https://i.ytimg.com/vi/JXBNQ5vqdqE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JXBNQ5vqdqE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JXBNQ5vqdqE/hqdefault.jpg', 'width': 480, 'height': 360}}","['due diligence', 'diligence', 'risks', 'business']",27,,en-GB,PT2M51S,hd,true,False,rectangular,608,11,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JXBNQ5vqdqE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Society']"
SYOKyw9g0Tw,How does a tax code work?,"Find out how your employer uses your tax code and how it works.
*Tell us how we can improve the HMRC YouTube channel through this quick feedback survey*
https://hmrccustomerlab.qualtrics.com/jfe/form/SV_bvaFKBiaUbvJfgy
*To subscribe and visit the HMRCgovuk YouTube home page:*
https://www.youtube.com/channel/UCX03s8aGilPqvp992meZd6w?sub_confirmation=1
*Understanding your Tax Code Playlist*
https://youtube.com/playlist?list=PL8EcnheDt1zj_OmyzLDsh5SmBFrz-avu7&feature=shared
*For further help & support on Gov.UK*
Visit https://www.gov.uk/estimate-income-tax
Visit https://GOV.UK/tax-codes to find out more
Visit https://www.moneyhelper.org.uk/en/work/employment/understanding-your-payslip

0:00 Introduction
0:04 What does the tax code show?
0:39 How much tax do I pay?
0:48 The tax rates in England, Wales, and Northern Ireland
1:04 The tax rates in Scotland
1:19 Tax rate bands
1:49 Some tax codes work differently
1:59 Further help and support

HMRC is the UK’s tax, payments and customs authority. We collect the money that pays for the UK’s public services and help families and individuals with targeted financial support.
 
You can use social media for help with general queries relating to any of HMRC’s products and services:
 
Twitter: https://twitter.com/HMRCcustomers
 
Facebook: https://www.facebook.com/HMRC",2024-10-11,"{'default': {'url': 'https://i.ytimg.com/vi/SYOKyw9g0Tw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SYOKyw9g0Tw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SYOKyw9g0Tw/hqdefault.jpg', 'width': 480, 'height': 360}}","['Tax code', 'how tax code works', 'code', 'how employer uses code', 'what does tax code do']",27,,en-GB,PT2M7S,hd,true,False,rectangular,528,12,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SYOKyw9g0Tw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Society']
4r0-xZKUsQQ,Working as a Tax Specialist in Individuals and Small Business Compliance at HMRC (Danny),Watch this video to hear from Danny on what it’s like working in Individuals and Small Business Compliance.,2024-10-10,"{'default': {'url': 'https://i.ytimg.com/vi/4r0-xZKUsQQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4r0-xZKUsQQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4r0-xZKUsQQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4r0-xZKUsQQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4r0-xZKUsQQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}",[],27,,en-GB,PT1M12S,hd,false,False,rectangular,284,7,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/4r0-xZKUsQQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","['https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Knowledge']"
ZhXj7B1Y6Jw,How do I end or leave a business partnership?,"Watch this video to find out more about how to end or leave a business partnership, including: 
how to tell HMRC, important dates, if the business partnership was sold or ended, Construction Industry Scheme, checking if you need to send a tax return and further help.
*Tell us how we can improve the HMRC YouTube channel through this quick feedback survey*
https://hmrccustomerlab.qualtrics.com/jfe/form/SV_bvaFKBiaUbvJfgy
*To subscribe and visit the HMRCgovuk YouTube home page:*
https://www.youtube.com/channel/UCX03s8aGilPqvp992meZd6w?sub_confirmation=1

Current playlist: https://www.youtube.com/playlist?list=PL8EcnheDt1zjHaYVBoZTBMjjlNUfYety0
For more videos on Self Assessment, visit https://www.youtube.com/@HMRCgovuk/playlists?view=50&shelf_id=1

https://www.gov.uk

0:00 Introduction
0:14 How to inform HMRC
0:37 Important dates
1:04 If the business or partnership was sold or ended
1:30 Construction Industry Scheme
1:42 Check if you need to send a Self Assessment tax return
1:57 Further help and support

HMRC is the UK’s tax, payments and customs authority. We collect the money that pays for the UK’s public services and help families and individuals with targeted financial support. 

You can use social media for help with general queries relating to any of HMRC’s products and services:
Twitter: https://twitter.com/HMRCcustomers
Facebook: https://www.facebook.com/HMRC",2024-10-10,"{'default': {'url': 'https://i.ytimg.com/vi/ZhXj7B1Y6Jw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZhXj7B1Y6Jw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZhXj7B1Y6Jw/hqdefault.jpg', 'width': 480, 'height': 360}}","['Cancel partnership', 'end partnership', 'leave partnership', 'Cancel class 2 National Insurance', 'stopped CIS', 'stopped constuction industry scheme', 'SA800', 'partner']",27,,en-GB,PT2M6S,hd,true,False,rectangular,247,5,0,0,public,youtube,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ZhXj7B1Y6Jw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",['https://en.wikipedia.org/wiki/Business']
